,MiceID,Vendor,SCFA,A1,n,K,Ai,R2
48,GI2,Guangdong,Butyrate,5.413858465277477,9.999999998861963,0.9334491136959703,0.942043979,0.4467747195737194
49,HI4,Hunan,Butyrate,3.895960886113253,9.9999999936177,1.0982911367371972,2.804553097,0.2282757577481419
50,SI1,Shanghai,Butyrate,6.373884574599308,9.346041162767486,0.030931341231907408,1.1663150629999999,0.2633566416166938
51,SI4,Shanghai,Butyrate,5.261191819705622,7.73668704418923,0.015764975072383485,3.451682331,0.13450421331634355
52,GI1,Guangdong,Butyrate,3.692547403846812,9.999999999923475,1.707569519776246,3.63118175,0.48464135642646133
53,BI2,Beijing,Butyrate,3.0964705485863,9.999999998688065,2.745593039945715,1.546647185,-0.08127676931990635
54,SI2,Shanghai,Total,16.40354044673634,9.999999999999966,30.99999999578363,27.64792268,-0.025135312865817383
55,BI5,Beijing,Total,15.503992220525186,8.341217221026508,0.028269222369036055,13.57795091,0.43540007244553147
56,GI3,Guangdong,Total,30.159421695320994,9.999999985431241,0.8953681660889025,13.60364211,0.4251822519530749
57,BI1,Beijing,Total,22.840251525166693,8.539547490896446,0.015798879062616955,8.702693104,0.3106073151790769
58,HI2,Hunan,Total,31.374223917164375,9.999999944813307,0.909485365284269,4.567514006000001,0.7435827662236484
59,BI3,Beijing,Total,14.043226280032687,9.999984657331686,12.78266710846597,23.21775134,-0.5781456557310434
60,BI4,Beijing,Total,15.05122102000005,8.619376096631523,0.0643171730682493,17.61438059,0.9403271216703378
61,GI4,Guangdong,Total,30.63239575112032,3.260932163981612,0.8538192997874923,13.12233507,0.6102149759501669
62,HI5,Hunan,Total,12.108643166288866,9.999999996650521,1.0760330286623778,22.20772216,0.28959998514997676
63,SI3,Shanghai,Total,15.84325258000928,8.248404957431804,0.017952803010667012,8.284729428,0.3790706551331292
64,HI1,Hunan,Total,15.884866027467293,9.999999994397056,5.278281549388647,16.50990602,-0.16947033569970205
65,SI5,Shanghai,Total,15.0136700717474,7.639320207346585,0.013553897691324568,15.35263129,0.30556012661044885
66,GI2,Guangdong,Total,23.044365614913495,9.999999994449551,0.9319106284942379,11.02934444,0.607300063911915
67,HI4,Hunan,Total,15.700306660405127,9.99999999946859,1.2200102138474926,19.36155048,0.30353897147009123
68,SI1,Shanghai,Total,25.51054744608394,8.589008687070283,0.0248113847496085,5.8126982620000005,0.3457471229887982
69,SI4,Shanghai,Total,17.244884321801333,8.162556869447991,0.02379175770205045,14.57331017,0.20923858888573033
70,GI1,Guangdong,Total,21.803062318489786,9.999999999999945,1.9345598073123826,19.37324855,0.8400801609737156
71,BI2,Beijing,Total,10.024000286757492,9.999999993365018,3.138665078069233,19.23593196,-0.2823713529567047
