SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Helicobacter_dash_ganmani,Mucispirillum_dash_schaedleri,Oscillospiraceae,Muribaculum,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Roseburia,Colidextribacter,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Oscillibacter,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Dubosiella_dash_newyorkensis,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Parabacteroides,Bacteroides_dash_caecimuris,Lactobacillus,Anaerotruncus,Ruminococcaceae,Bilophila,Desulfovibrio,Gastranaerophilales,mouse_dash_gut_dash_metagenome,Helicobacter_dash_mastomyrinus
sample370,80068013.07331188,40837496.94301324,15562095.34863591,12200633.06889963,7638981.254643189,72719375.21188381,5778920.3719069,8710301.796452904,4912548.107660782,638134.4096866564,4639283.737575985,625713.3019555295,2786986.047171651,0.0,0.0,2360010.468914155,1071320.541809715,0.0,0.0,630371.2173547021,1049583.603280243,290343.3932150968,63658.17712202657,0.0,217369.3852947248,810477.2794560456,0.0,18631.6615966907,0.0,0.0,571370.9556318482,0.0,108684.6926473624,312080.3317445693,220474.6622275066,0.0,555844.5709679393,0.0,0.0,1842981.859605988
sample381,60862702.28823522,64028660.90998869,22815342.95060903,20369568.60993014,18779458.76161704,10071884.12888903,4144030.67344378,149741.2861640138,28896502.96093648,833084.4571505853,666705.2503016808,165190.7839428407,610849.3737166914,74870.64308200694,253134.0789915472,53479.03077286209,499137.6205467128,38029.53299403527,35652.68718190806,117653.8677002966,111711.7531699786,72493.79726987972,493195.5060163948,0.0,60609.5682092437,167567.6297549679,46348.49333648047,155683.4006943319,0.0,0.0,449223.8584920416,71305.37436381611,105769.6386396606,42783.22461828968,168756.0526610315,0.0,154494.9777882683,0.0,0.0,1416600.104027814
sample382,82888884.87594777,48164924.46763933,10261523.41406263,4755196.71171646,6885113.260488377,90063572.71208012,6855714.826412852,3757119.874852325,9266386.420606049,555630.4040274565,5494567.32871596,880483.1005620277,2004973.203950928,82315.61541147504,111714.0494870018,737900.6952957227,1109790.886351137,55857.02474350092,72026.16348504066,1278831.882285416,401288.6251309408,0.0,194029.6648984768,0.0,74966.00689259334,1245023.68309856,58796.8681510536,113183.9711907781,4409.76511132902,29398.4340755268,721731.556554183,63206.63326238262,32338.27748307948,689393.2790711034,310153.4794968078,0.0,135232.7967474233,0.0,0.0,395408.9383158354
sample384,58054452.65376668,51383762.8909282,9115538.605826357,3049815.08953744,3995632.525145892,38874881.16470662,4961972.414545846,1568629.29415062,3910865.868180984,119565.6003505023,514845.9059868645,5180581.161455347,739700.6170937794,41044.90758300827,54429.11657746749,25876.13738928782,109750.5137545656,33906.66278596335,19630.17319187352,183809.8035239066,82089.81516601653,33014.38218633274,160610.5079335106,0.0,39260.34638374704,119565.6003505024,55321.39717709809,82089.81516601655,0.0,9815.08659593676,405987.6728319296,66028.76437266548,19630.17319187352,48183.15238005319,33014.38218633273,0.0,125811.5645479167,0.0,0.0,153472.2631364657
sample385,34335948.4016603,32212528.22043733,8731894.299245086,1716309.277512618,2346013.193323561,68585007.42579006,6131070.684174768,4284915.482936792,287027.8313928951,834723.7953772972,3895377.71176072,87865.66267129444,849368.0724891796,48814.25703960803,84936.80724891795,1110036.205080686,640443.0523596574,24407.12851980401,64434.81929228259,263596.9880138833,459830.3013131075,67363.67471465908,175731.3253425889,0.0,58577.10844752962,790790.9640416498,56624.53816594531,67363.67471465906,0.0,11715.42168950593,326079.2370245816,56624.53816594531,8786.566267129445,507668.2732119234,149371.6265412005,0.0,106415.0803463455,0.0,0.0,414921.1848366682
sample396,107319461.8624303,62652267.41257848,11837159.35065188,4633721.593797159,8403030.656771753,4910098.38936628,2158091.148380149,3986882.285018369,13063213.85865532,2111048.289559873,3243017.079922759,149949.1124896289,338120.5477707318,91145.53896428423,482189.3029078263,41162.50146774126,1846432.208695823,38222.32279147403,147008.9338133617,934976.8190529802,505710.7323179642,0.0,1111387.539629014,0.0,220513.4007200425,1217233.971974635,38222.32279147403,129367.8617557583,0.0,17641.0720576034,358701.7985046025,52923.2161728102,267556.2595403183,129367.8617557583,264616.080864051,0.0,670360.7381889292,0.0,0.0,3551735.840930818
sample397,52285245.49415557,39499037.3018559,6015579.15054557,4279486.92664219,3758267.365063975,76553959.81746407,5425124.910361728,2773306.088297122,2736729.276958299,161983.0216433552,1929426.798122868,165901.9657153718,483336.4355487211,36576.81133882214,61396.79046159431,20901.03505075551,611355.2752345987,35270.49664814992,44414.69948285545,70540.99329629984,161983.0216433552,0.0,100586.2311817609,0.0,19594.72036008329,73153.62267764428,56171.53169890543,118874.636851172,0.0,0.0,309596.581689316,49639.95824554433,296533.4347825938,47027.3288641999,88829.3989657109,0.0,100586.2311817609,0.0,0.0,198559.8329821773
sample399,107768324.4454361,142625051.7398549,17214817.85047081,5057840.603068586,16078148.88515353,154660963.6536731,13414711.54630358,13212935.9903301,1099676.78005547,1143394.817183058,8158458.313194408,5404221.974156395,1557034.706928694,242130.667168177,181598.0003761327,359833.0748193741,635593.0013164646,0.0,107613.6298525231,8222353.905919344,413639.8897456357,174872.1485103501,174872.14851035,0.0,158057.5188458933,817191.0016925973,80710.22238939232,295937.4820944385,0.0,0.0,803739.2979610319,191686.7781748068,181598.0003761327,413639.8897456356,161420.4447787846,0.0,1782350.744432414,0.0,0.0,403551.1119469617
sample400,65829486.42350585,83180188.95181362,6466261.618761686,7276491.990269173,9521938.126690565,71012883.28738068,5744325.582610781,2981232.264392938,3092032.998958064,150619.748549469,737517.3894491238,1355577.736945221,403383.924276164,60594.15171530361,55400.3672825633,10387.56886548062,22506.39920854134,43281.53693950258,29431.44511886175,10387.56886548062,88294.33535658524,0.0,148888.4870718889,0.0,48475.32137224288,25968.92216370154,58862.8902377235,147157.2255943088,0.0,0.0,365296.1717694017,65787.93614804391,164469.8403701098,43281.53693950258,51937.84432740309,0.0,244107.8683387945,0.0,0.0,53669.10580498319
sample31,28426.4015382479,19171.29406067882,16526.97763851622,2040090.119698442,2443348.374078238,0.0,24054685.4133076,1983.237316621947,97839.70762001604,1560807.768181472,3963830.31682173,67430.06876514619,20892082.97240113,3305.395527703245,0.0,3952591.97202754,1558163.45175931,0.0,0.0,175185.962968272,540762.7083322508,118333.1598917762,969803.0478281319,1501971.727788354,7153537.001055362,530846.521749141,5949.71194986584,0.0,0.0,0.0,79990.57177041851,0.0,16526.97763851623,1258694.616949396,752308.0221052584,0.0,0.0,0.0,17188.05674405687,0.0
