SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Oscillospiraceae,Helicobacter_dash_ganmani,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Colidextribacter,Escherichia_dash_Shigella,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillibacter,Roseburia,Alistipes,Rikenellaceae_dash_RC9_dash_gut_dash_group,Dubosiella_dash_newyorkensis,Bacteroides_dash_caecimuris,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Parabacteroides,Lactobacillus,Ruminococcaceae,Bilophila,Gastranaerophilales,Anaerotruncus,mouse_dash_gut_dash_metagenome,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Desulfovibrio,Bifidobacterium_dash_choerinum
sample441,301667682.4268375,56047821.62383988,30080251.47104964,2888071.941989065,4530636.736781688,11209564.32476798,17821619.0457907,26164009.19949573,13362034.7301578,9792695.455977391,6649670.708689727,62693.31277834439,19526877.15336167,150463.9506680265,2231881.93490906,7794868.55544082,271671.0220394924,2980022.13406397,973836.1251569496,1295661.797419118,133745.7339271347,351082.5515587286,0.0,1295661.797419117,568419.3691903225,1115940.96745453,1767951.420349312,0.0,1642564.794792623,292568.7929656072,1111761.413269307,37615.98766700664,505726.0564119781,100309.300445351,8359.10837044592,823372.1744889229,2148290.851204601,0.0,29256.87929656072,0.0
sample442,158034007.1743825,36373232.44334443,12379692.45550743,6387909.56995489,6963026.830272372,3529928.898785362,3169013.475218779,11434856.95641443,10404927.57696833,2737675.529980667,9794599.05581508,73356.79340784211,7670186.318723971,909624.2382572423,3670773.942128418,20745301.17573775,231807.4671687811,2517605.149757141,2150821.182717931,214201.836750899,604459.977680619,401995.2278749748,0.0,1757628.770051897,2227112.247862086,305164.2605766232,167253.48896988,0.0,610328.5211532464,349178.3366213284,563380.1733722275,55751.16298996001,762910.6514415579,49882.61951733263,23474.17389050948,1590375.281082017,3491783.366213284,0.0,0.0,0.0
sample443,135909203.4938042,49284613.72396643,49749415.92926623,10147748.70565126,9111681.220094744,7901637.490096411,10116588.78127362,8883175.107992053,30617222.36139559,1246396.975105579,3440574.983364359,72706.4902144921,6922696.53256557,88286.45240331185,1152917.201972661,2778426.59033952,83093.13167370527,4497415.751839299,368725.7718020672,176572.9048066237,311599.2437763948,160992.942617804,0.0,451818.9034757724,810158.0338186263,880267.8636683152,594635.2235399534,0.0,2199371.328988386,179169.565171427,849107.9392906758,225909.4517378862,215522.810278673,36353.24510724605,10952713.41874028,693308.3174024783,475188.8467590021,0.0,0.0,0.0
sample456,263490101.9659315,2629045.047046731,24889931.14633962,4357171.230619504,10630842.5889927,19418896.59360685,9774969.66869244,14246803.30011772,15123151.6491333,2018877.271330278,8714342.46123901,110567.315062713,10553035.9598745,266180.5732991238,1904214.870524501,20688373.17395652,163803.4297225378,18014282.18373609,503695.5463968036,1695365.497628266,364462.6311326465,298941.2592436314,0.0,687974.4048346586,323511.7737020121,999200.9213074804,462744.6889661691,0.0,884538.520501704,307131.4307297583,1298142.180551112,45045.94317369789,470934.8604522961,24570.51445838067,7842089.197966495,1404614.409870761,409508.5743063444,0.0,45045.94317369789,0.0
sample457,136885520.9682362,6364180.583105896,16361978.72845584,7339993.073319846,15970369.76856735,3776993.520236014,2816160.607722716,21743927.00233322,9131122.57838361,3049414.031918595,14095782.61631424,32099.09507282731,12159137.21358699,793917.6181345956,2542248.329767923,18191627.147607,256792.7605826185,12734780.98522636,1793269.444735286,199014.3894515294,843136.2305795974,748978.8850326373,0.0,898774.6620391647,1846767.936523331,481486.4260924097,136956.1389773965,0.0,530705.0385374116,276052.2176263149,697620.3329161135,102717.1042330474,712599.9106167663,85597.58686087283,421568.1152897987,1902406.367982899,763958.4627332902,0.0,42798.79343043642,0.0
sample458,212114816.7164088,3975145.402790808,102220183.874807,6068520.453309921,9828282.502527464,1114703.321124799,4957595.78751097,21980438.03045069,27531282.70411961,4523050.42503859,3714418.185307381,83130.41716862906,5309010.732814719,117138.31510125,627256.7840905648,6718449.169355567,132252.9364046371,9866069.05578593,343857.6346520565,253169.906831734,230497.9748766533,411873.4305172985,0.0,154924.8683597178,631035.4394164116,1156268.529709113,963557.1080909278,0.0,2229406.642249597,117138.31510125,661264.6820231858,71794.45119108872,268284.5281351211,15114.6213033871,14974811.05633077,411873.4305172985,0.0,0.0,15114.6213033871,0.0
sample471,371753695.6874902,14186919.65990281,4707280.682261331,11540430.05973745,6173696.231205412,655114.6387294569,898071.0610397191,40031409.08315695,22889965.7876597,676807.1764357304,4173644.254687004,121478.2111551311,21644814.12331961,390465.6787129214,2269039.444076199,5904708.763647622,160524.7790264232,2885107.514934364,516282.3974093072,312372.5429703371,151847.7639439139,212586.8695214794,0.0,485912.8446205244,264648.9600165356,2464272.283432659,2117191.680132285,0.0,95447.165907603,65077.61311882023,1830850.182409476,164863.2865676779,468558.8144555057,34708.06033003746,906748.0761222286,585698.5180693822,56400.59803631087,0.0,73754.62820132959,0.0
sample472,241671526.0470128,3508322.20713883,1290025.091730037,13209674.92519329,5098670.600647287,50053.88362973687,222967.2998051915,31891149.40172826,13828522.94097912,200215.5345189475,814513.1972475364,59154.58974423448,3014608.900427334,52329.06015836127,125134.7090743422,939647.9063218784,88731.88461635173,1060232.262338972,127409.8856029666,227517.6528624403,59154.58974423449,147886.4743605862,0.0,100107.7672594737,0.0,1067057.791924845,177463.7692327034,4550.353057248807,27302.11834349284,0.0,941923.082850503,213866.5936906939,38678.00098661485,0.0,138785.7682460886,241168.7120341867,18201.41222899523,0.0,13651.05917174642,0.0
sample473,352728549.4965814,7238188.363967534,12307902.40347393,11971341.55547309,4639427.385733164,800929.6129640356,1831913.476460294,48520145.54280533,24159956.56978216,1235476.530636012,3344307.160514723,144848.9725573256,12474052.69552498,127807.9169623461,826491.1963565048,7268010.211258749,183191.3476460294,1077846.766382452,894655.4187364227,93725.80577238715,792409.0851665458,264136.361722182,0.0,511231.6678493844,217273.4588359884,1895817.434941467,583656.1541280472,0.0,178931.0837472845,68164.22237991792,2142912.74106867,106506.5974686218,494190.6122544049,46862.90288619357,984120.960610065,771107.7656728216,55383.43068368331,0.0,63903.95848117305,0.0
sample486,236563051.8978089,11485273.37379519,9979438.079926204,5173357.490434931,3609807.254989079,724060.1761460652,1353677.720620905,42934669.72031342,17786695.63141421,388264.1524261509,3294998.482751659,120676.6960243442,13022589.54488793,309561.959366796,215119.3276955701,3174321.786727315,94442.6316712259,5105148.923116823,246600.2049193121,110183.0702830969,152157.5732480862,414498.2167792692,0.0,257093.8306605594,110183.0702830969,1804903.62749454,1663239.679987701,0.0,125923.5088949679,73455.38018873126,1280222.340432173,125923.5088949679,251847.0177899358,36727.69009436563,7996142.81483046,561408.9771567318,62961.75444748393,0.0,162651.1989893335,0.0
