SampleID,Muribaculaceae,Bacteroides_dash_acidifaciens,Akkermansia_dash_muciniphila,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Helicobacter_dash_ganmani,Oscillospiraceae,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Roseburia,Lachnoclostridium,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Rikenellaceae_dash_RC9_dash_gut_dash_group,Colidextribacter,Clostridia_dash_vadinBB60_dash_group,Oscillibacter,Alistipes,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Parabacteroides,Dubosiella_dash_newyorkensis,Lactobacillus,Gastranaerophilales,Anaerotruncus,Desulfovibrio,Ruminococcaceae,Helicobacter_dash_mastomyrinus,Peptococcaceae,mouse_dash_gut_dash_metagenome,Bifidobacterium_dash_choerinum
sample231,164395217.0042894,753149.781877559,6560513.946139599,9482735.09982453,25542205.83339833,0.0,1186500.579450185,16080327.18907195,3418141.317751999,1211991.80283681,3744892.453889647,53299.8307174888,90377.97382530708,347607.5916357965,1703277.199015403,0.0,2078693.397982063,271133.9214759212,1040505.390963151,790227.9249853775,3580358.193848704,282720.8411971145,208564.5549814779,885240.6666991618,1587408.00180347,234055.778368103,920001.4258627414,739245.4782121272,0.0,192342.8673718074,12977350.0877364,345290.2076915579,398590.0384090467,403224.806297524,0.0,655819.656219536,0.0,644232.7364983428,829623.4520374343,6741269.893790213
sample233,197277016.9114945,1233477.836042296,454555.3385057476,11875809.86329094,32125588.21992806,19859.21381821228,1253337.049860508,12328158.62248356,6875701.139727716,4602924.447198978,18369772.78184635,66197.37939404091,72817.11733344501,260376.3589498943,3925504.598066627,13239.47587880818,2519913.575599824,615635.6283645806,1659347.643477292,225071.0899397391,3109070.252206788,611222.4697383111,278028.9934549718,661973.7939404092,2383105.658185473,174319.7657376411,1125355.449698695,902490.939072091,0.0,218451.352000335,1282022.580931259,333193.4762833393,262582.938263029,81643.43458598379,0.0,1052538.33236525,0.0,1394558.125901128,428076.3867481312,4289590.184733851
sample234,322536393.1115454,1148826.018783372,1018594.72920469,5972034.850679555,13646378.70085188,153486.8770034465,12423134.80230926,22799777.91123924,8037131.013998653,1841842.524041358,5697618.919067332,46511.17484952925,106975.7021539172,399996.1037059515,5330180.637756051,0.0,3199968.829647612,381391.6337661398,916270.1445357262,497669.5708899628,5083671.411053546,246509.226702505,251160.3441874579,572087.4506492097,1986027.166074899,18604.4699398117,776736.6199871383,451158.3960404336,0.0,339531.5764015634,4451119.433099948,195346.9343680228,97673.4671840114,376740.5162811868,0.0,702318.7402278916,0.0,1320917.36572663,502320.6883749157,2920901.780550437
sample235,135995005.1960312,1076964.012610664,2810455.636512515,7271932.679744982,17323596.79744452,35575.38780395588,3070802.792714192,14919023.9945135,1251606.825466448,1015515.61549474,4400028.646116544,77619.02793590374,87321.40642789172,278134.8501036551,7596962.359226578,17787.69390197794,1392291.313600273,357370.9411215569,729295.4499810956,842489.8657209552,2411041.05525901,163323.3712817975,160089.2451178015,295922.544005633,1980902.275447544,124513.8573138456,692102.9990951417,585376.8356832741,0.0,181111.0651837754,7606664.737718567,74384.90177190775,46894.82937794185,522311.3754853523,0.0,456011.7891234345,0.0,612866.90807724,6788430.818227582,2162013.340631319
sample246,162899028.3471496,2023014.796729462,3752183.86879431,25926234.32233177,26057334.72256675,83633.0139430057,1231891.691863192,11738006.52448726,3322717.040438335,153703.9175168753,395561.5524331351,42946.68283559753,63289.84838930162,54248.44147654425,144662.510604118,0.0,103976.1794967098,97195.12431214178,825028.3807891104,162745.3244296327,617076.0217956908,110757.2346812778,133360.7519631713,666803.7598158563,155964.2692450647,0.0,79112.31048662702,712010.794379643,0.0,185348.8417115262,4446111.849348439,169526.3796142008,79112.31048662702,67810.5518456803,0.0,108496.8829530885,0.0,47467.38629197621,472413.5111915728,4821330.236227869
sample248,292412651.3806738,3344366.834552693,2273467.218239232,53790761.05548268,40575684.23286043,0.0,1027010.287776024,18099959.08883898,904120.1678712004,1285957.326146902,8672531.318997534,114112.254197336,105334.3884898486,364281.4268607264,860230.8393337635,39500.39568369323,2567525.71944006,574950.2038404235,2839639.556372168,373059.2925682138,2958140.743423248,438893.2853743692,250169.1726633904,1141122.54197336,1422014.244612956,127279.0527585671,1237679.064755721,1953075.119915943,0.0,57056.12709866799,13337966.94252708,711007.122306478,74611.85851364274,184335.179857235,0.0,557394.4724254488,0.0,842675.1079187887,548616.6067179614,7316351.067190734
sample250,97977605.34055762,1244881.738389583,4037746.855820127,11709465.88187837,20099968.79862416,17320.09375150725,1188591.433697185,11863181.713923,5911564.498561316,647338.5039625834,999152.9082900743,55207.79883292934,54125.29297346015,80105.43360072101,192686.0429855181,9742.552735222826,640843.4688057681,119075.6445416123,773991.6895204801,99590.53907116667,141808.2675904656,72527.89258443659,71445.3867249674,652751.0332599293,525015.3418425634,19485.10547044565,181860.9843908261,886572.298905277,0.0,120158.1504010815,1845672.490394991,41135.22265982971,567233.0703618623,57372.81055186775,0.0,251141.3593968551,0.0,161293.3730609112,768579.1602231341,473055.0605880416
sample261,93767049.65335774,1126187.897688205,1153843.262160767,5150043.428445925,9326003.463802734,82966.09341768496,424048.921912612,5119315.245698635,3046699.319393875,755913.295583352,2618041.17006917,90648.13910450765,215097.2792310351,76820.45686822681,342619.2376322916,0.0,2210892.748667568,78356.86600559135,616100.064083179,282699.2812750747,145958.868049631,259653.1442146066,53774.31980775877,892653.7088087955,969474.1656770224,107548.6396155175,663728.7473414796,565398.5625501494,0.0,110621.4578902466,2717907.763997865,16900.5005110099,181296.2782090153,170541.4142474635,13827.68223628083,382565.8752037695,9218.454824187218,195123.9604452961,3102010.048338999,333400.7828081044
sample263,115829361.9459935,832636.2143673982,490660.6263236454,11439455.13265923,12812933.17376974,111513.7787099194,695102.5539584976,10881886.23910963,21973790.09478961,879100.2888298647,4572064.927106694,104079.5267959248,249047.43911882,61332.57829045567,9118109.97251441,0.0,1626242.606186324,172846.3570003751,1278691.329207076,115230.9046669167,912554.4224428403,191431.9867853616,91069.58594643416,1767493.392552222,986896.9415827865,234178.9352908307,449772.2407966749,444196.5518611789,0.0,263915.9429468092,1836260.222756673,139392.2233873993,509246.2561086318,146826.4753013939,26019.88169898119,544558.9527001063,7434.251913994625,345692.7140007501,185856.2978498656,538983.2637646104
sample264,174423118.0991969,1532224.367118546,171884.1437472727,7339452.938008546,13149136.99666636,250459.7523174545,2313069.477284728,10764858.37411491,15661100.98314437,370778.6529405455,2234493.868714545,78575.60857018182,324124.385352,22099.38991036364,211171.9480323636,0.0,535296.3333843637,0.0,476364.6269567273,39287.80428509091,152240.2416047273,51565.24312418182,58931.70642763637,218538.4113358182,321668.8975841819,105585.9740161818,166973.1682116364,505830.4801705455,0.0,206260.9724967273,2101897.529252364,54020.73089200001,1200733.518463091,68753.6574989091,22099.38991036364,223449.3868714546,0.0,66298.16973109092,176795.1192829091,665437.1850787273
