,PerturbationType,SCFA,Permutation,PredictionType,SampleID,Day,ObservedValue,PredictedValue
340,intrapolation,Butyrate,A,train,sample47,2,14.75298909,13.822872735171643
341,intrapolation,Butyrate,A,train,sample112,25,2.392897908,3.119588727077544
342,intrapolation,Butyrate,A,train,sample82,13,1.147162395,4.2454546569590494
343,intrapolation,Butyrate,A,train,sample336,8,8.254032018,7.7523850816315525
344,intrapolation,Butyrate,A,train,sample473,8,8.251732099,7.9575341564965845
345,intrapolation,Butyrate,A,train,sample205,8,6.411691906000001,5.806179368846378
346,intrapolation,Butyrate,A,train,sample517,25,3.7082071030000003,4.697238357868957
347,intrapolation,Butyrate,A,train,sample354,13,4.375856498,5.334247215889037
348,intrapolation,Butyrate,A,train,sample126,31,4.096762026,4.524806467910408
349,intrapolation,Butyrate,A,train,sample351,13,6.048502127999999,6.3506726540147636
350,intrapolation,Butyrate,A,train,sample158,1,7.334946233999999,6.785910825177125
351,intrapolation,Butyrate,A,train,sample175,3,6.1290342120000005,5.708572418063485
352,intrapolation,Butyrate,A,train,sample202,8,4.349549936,4.457778387929385
353,intrapolation,Butyrate,A,train,sample262,31,2.990095232,3.557438529239167
354,intrapolation,Butyrate,A,train,sample518,25,3.0260493760000005,3.906649455992072
355,intrapolation,Butyrate,A,train,sample84,13,9.193841629,9.604870016586373
356,intrapolation,Butyrate,A,train,sample76,10,12.48291975,11.407830822126135
357,intrapolation,Butyrate,A,train,sample97,19,2.860408028,3.395204648946073
358,intrapolation,Butyrate,A,train,sample519,25,6.008957879,5.503712327839254
359,intrapolation,Butyrate,A,train,sample532,31,3.5218891439999997,4.810197491776
360,intrapolation,Butyrate,A,train,sample96,19,2.774925085,3.3599505021335716
361,intrapolation,Butyrate,A,train,sample65,5,12.77633172,12.21333683056871
362,intrapolation,Butyrate,A,train,sample487,13,6.897163442999999,7.53244283998547
363,intrapolation,Butyrate,A,train,sample370,19,4.140132486000001,4.8714433479131785
364,intrapolation,Butyrate,A,train,sample396,31,3.838208345,4.642640822465887
365,intrapolation,Butyrate,A,train,sample250,25,3.6766434610000003,3.845484747820177
