,NCBIID,EC,Forward,Reverse
281,2057233,5.4.99.5,1083.260274,1083.260274
282,2057233,4.2.3.5,5036144.578,5036144.578
283,2057233,1.3.3.3,17600000,17600000
284,2057233,6.3.4.2,78564.30446,78564.30446
285,2057233,2.5.1.47,7422.869955,7422.869955
286,2057233,2.7.1.213,121.1912351,134.5973451
287,2057233,2.7.4.14,184.7196653,53.83902439
288,2057233,2.7.1.48,3849430.894,3849430.894
289,2057233,2.7.1.107,495885,495885
290,2057233,4.1.1.20,1133.698276,1133.698276
291,2057233,1.4.1.16,1273.773066,7780.095923
292,2057233,2.7.7.41,28811.65919,28811.65919
293,2057233,3.5.4.12,660.4819277,1074.901961
294,2057233,4.1.2.14,161.6322702,161.6322702
295,2057233,2.7.1.29,2513.416407,2914.763969
296,2057233,4.3.3.7,417.9144737,417.9144737
297,2057233,1.3.5.2,813.1367925,813.1367925
298,2057233,1.3.98.1,2707.830986,4197.729258
299,2057233,3.5.2.3,27155.55556,21203.65297
300,2057233,4.2.3.4,4480.432432,4480.432432
301,2057233,2.5.1.1,89818.18182,988000
302,2057233,2.7.1.24,1038813.953,1351558.245
303,2057233,4.1.2.4,73.828125,73.828125
304,2057233,2.7.1.145,1405000,1405000
305,2057233,2.4.2.1,2.114879337,2.114879337
306,2057233,1.1.1.267,108796.2963,146875
307,2057233,1.2.1.72,360750,360750
308,2057233,4.2.1.17,290.885632,290.885632
309,2057233,4.2.1.11,1726.843444,1726.843444
310,2057233,4.1.2.13,9160.447761,7169.976636
311,2057233,1.18.1.3,92102.5,92102.5
312,2057233,2.7.7.2,443223.8806,494933333.3
313,2057233,6.3.2.17,37647.05882,34594.59459
314,2057233,6.3.3.2,27848.10127,27672.95597
315,2057233,2.3.1.157,655.9961198,655.9961198
316,2057233,2.3.1.15,4520090.909,4865068.493
317,2057233,3.5.99.6,963.9642857,963.9642857
318,2057233,5.3.1.9,47846.66667,47846.66667
319,2057233,3.2.1.23,269.0416667,269.0416667
320,2057233,2.7.7.9,563.4820974,563.4820974
321,2057233,2.1.2.2,1595.945946,1595.945946
322,2057233,2.6.1.16,44159.35484,6977.268094
323,2057233,2.1.2.1,32926.82927,32926.82927
324,2057233,2.7.7.27,1778.846154,1778.846154
325,2057233,6.3.1.2,7345.854732,7345.854732
326,2057233,1.4.1.13,5971.479501,9153.005464
327,2057233,5.1.1.3,15563.75,1729.305556
328,2057233,6.1.1.17,1114440,1114440
329,2057233,2.7.1.30,21.25923077,21.25923077
330,2057233,3.4.11.2,2117.977778,2117.977778
331,2057233,3.4.13.18,4.258726641,4.258726641
332,2057233,6.3.5.2,40376.56904,40376.56904
333,2057233,3.1.4.2,318.1818182,318.1818182
334,2057233,3.1.4.46,9716.071429,9716.071429
335,2057233,2.7.6.5,129317.2691,129317.2691
336,2057233,4.2.1.1,3.7,3.7
337,2057233,1.1.1.35,162582.0106,7682000
338,2057233,2.7.1.1,312.1069182,312.1069182
339,2057233,1.1.1.23,38297.76675,38297.76675
340,2057233,3.1.3.15,655.6875,655.6875
341,2057233,1.1.1.3,46782.15223,46782.15223
342,2057233,2.7.1.39,4890.10989,13484.84848
343,2057233,2.6.1.9,33828.81356,33828.81356
344,2057233,2.4.2.8,5352.112676,5629.62963
345,2057233,1.1.1.41,1769.484375,3321.026393
346,2057233,4.2.1.19,570,570
347,2057233,1.1.1.205,10120.96154,10319.41176
348,2057233,1.1.1.18,1149.558824,1149.558824
349,2057233,2.6.1.57,129,300
350,2057233,1.1.1.27,215045.8716,215045.8716
351,2057233,3.1.1.5,19.68503937,19.68503937
352,2057233,1.1.2.3,1046.428571,623.4042553
353,2057233,1.1.1.17,4882.588235,332.016
354,2057233,3.2.1.20,1172.161172,1172.161172
355,2057233,3.2.1.122,97141.34615,97141.34615
356,2057233,4.6.1.12,9293.888889,9293.888889
357,2057233,2.7.7.60,11486.76471,11486.76471
358,2057233,2.5.1.6,484782.6087,78604159323
359,2057233,1.8.4.13,1609706.25,1609706.25
360,2057233,3.5.4.9,580.6792453,580.6792453
361,2057233,1.5.1.5,248.0963855,248.0963855
362,2057233,2.7.1.23,8932.142857,8932.142857
363,2057233,6.3.1.5,144910,144910
364,2057233,6.3.5.1,33793.10345,61250
365,2057233,2.7.4.6,986.8421053,986.8421053
366,2057233,3.2.1.18,102178.938,102178.938
367,2057233,3.5.1.19,2148.676171,8490.945674
368,2057233,2.7.7.1,11224.72222,11224.72222
369,2057233,3.1.3.5,4304.758065,4304.758065
370,2057233,3.1.5.1,14.84575,14.84575
371,2057233,2.3.3.1,43612.75861,43612.75861
372,2057233,2.3.1.54,11154.59883,21033.21033
373,2057233,2.6.1.52,16465.86345,16465.86345
374,2057233,4.1.1.23,2882.562278,2882.562278
375,2057233,2.4.2.10,32142.14876,69450
376,2057233,1.5.1.2,592.9166667,837.0588235
377,2057233,3.11.1.1,158139.5349,57142.85714
378,2057233,2.7.8.13,6661.312504,1544652.174
379,2057233,5.4.2.10,3432144.587,9204.1357
380,2057233,1.1.1.95,322.0174588,322.0174588
381,2057233,5.4.2.1,20,20
382,2057233,5.4.2.2,341.8421053,521.686747
383,2057233,5.4.2.8,1962.133333,43282.35294
384,2057233,2.7.1.33,15787.8453,31751.11111
385,2057233,1.2.7.1,2706.766917,2706.766917
386,2057233,3.6.1.1,2500000,2500000
387,2057233,4.1.1.36,52125.60002,52125.60002
388,2057233,4.1.1.49,5997.931748,3662.77234
389,2057233,2.7.9.1,7844.8,1474.586466
390,2057233,1.3.1.12,4658.212291,4658.212291
391,2057233,1.3.1.13,4173.366667,4173.366667
392,2057233,4.2.1.51,19838181.85,19838181.85
393,2057233,6.3.5.3,2828360,2828360
394,2057233,5.3.1.16,50783.80952,50783.80952
395,2057233,2.7.6.1,193181.8182,3136.531365
396,2057233,2.5.1.19,1393.930818,1393.930818
397,2057233,3.1.3.3,293530,293530
398,2057233,2.3.1.8,41444.08602,41444.08602
399,2057233,2.7.1.35,1250000,204081.6327
400,2057233,2.7.1.40,99.5951417,99.5951417
401,2057233,2.7.1.26,48857.14286,62181.81818
402,2057233,5.1.3.4,106235.5658,106235.5658
403,2057233,4.4.1.21,610827.5862,600474.5763
404,2057233,1.17.4.1,9858.287123,9858.287123
405,2057233,1.17.4.2,5241379.31,4457478.006
406,2057233,5.1.3.1,48.45306122,48.45306122
407,2057233,5.3.1.6,142.2694444,142.2694444
408,2057233,1.1.1.14,16926.70807,17357.96178
409,2057233,2.3.1.30,64622.54902,64622.54902
410,2057233,1.1.1.25,350.2701149,384.2812106
411,2057233,2.7.1.71,357.3365385,357.3365385
412,2057233,2.2.1.2,1066.659292,1052.68559
413,2057233,5.1.3.13,1517.77027,1517.77027
414,2057233,1.1.1.133,1124.137931,1124.137931
415,2057233,4.2.1.46,82.03814831,82.03814831
416,2057233,2.7.8.12,411205.0691,411205.0691
417,2057233,1.11.1.7,738.6029412,738.6029412
418,2057233,4.3.1.19,11961.83652,6162.455565
419,2057233,2.2.1.1,3755.319149,2401.360544
420,2057233,2.7.6.2,1071428.571,1071428.571
421,2057233,5.3.1.1,4.262444865,4.262444865
422,2057233,1.8.1.9,2614.655177,2872.159091
423,2057233,1.1.1.60,374.4855967,374.4855967
424,2057233,2.7.7.23,16968.42105,16968.42105
425,2057233,2.4.1.227,63333.33333,60946.27105
426,2057233,6.3.2.9,156610,156610
427,2057233,3.6.1.27,3333.333333,625
428,2057233,2.5.1.31,257333.3333,191721.8543
429,2057233,5.1.3.2,275.1356025,275.1356025
430,2057233,1.1.1.22,267647.0588,227500
431,2057233,2.4.2.9,3973.137255,13508666.67
432,2057233,4.2.1.70,8353333.333,8353333.333
433,2057233,5.4.2.7,4314.705882,4314.705882
434,2057233,6.3.2.5,15243.96552,15243.96552
435,186831,3.5.4.22,40900,40900
436,186831,1.1.1.86,1222870.968,2916076.923
437,186831,1.1.1.27,215045.8716,215045.8716
438,186831,2.3.1.180,15546.21849,15546.21849
439,186831,5.4.3.3,7582.368421,7582.368421
440,186831,4.2.1.59,1093708,1093708
441,186831,2.3.3.13,47619.04762,39024.39024
442,186831,2.3.1.41,861570.4915,547456.25
443,186831,4.2.3.1,5112.60274,5112.60274
444,186831,3.1.3.1,2274.247492,2274.247492
445,186831,3.1.3.2,12611.60714,12111.46838
446,186831,1.4.1.12,1996.410256,1996.410256
447,186831,1.2.1.3,34908.26087,34908.26087
448,186831,6.2.1.20,4449437.5,4449437.5
449,186831,2.3.1.9,787.5,787.5
450,186831,2.3.1.16,29945.71429,5175.802469
451,186831,1.2.1.10,19843.14286,19843.14286
452,186831,2.7.1.156,89457.01357,89457.01357
453,186831,2.7.8.33,27772.5,27772.5
454,186831,2.7.2.8,3962.616822,3962.616822
455,186831,2.3.1.1,11807.50469,11807.50469
456,186831,2.2.1.6,2689.689655,2689.689655
457,186831,2.7.2.1,233.5907336,98.21428571
458,186831,2.5.1.56,10276.8407,10276.8407
459,186831,1.3.8.1,2701.821429,2701.821429
460,186831,1.3.8.4,18143.45992,107500
461,186831,2.3.1.38,3136363.638,3179.723499
462,186831,3.5.1.14,1153.605898,1153.605898
463,186831,3.5.1.16,19.25925926,32.5
464,186831,2.6.1.11,36852.32068,36852.32068
465,186831,2.7.8.7,38180.5999,110794.4444
466,186831,2.7.1.74,1.130227301,1.130227301
467,186831,2.6.1.85,351615,351615
468,186831,2.7.4.3,278296.1539,278296.1539
469,186831,4.1.1.50,1630354.167,1630354.167
470,186831,3.6.1.13,163.0364059,163.0364059
471,186831,2.4.2.7,4287.245445,4287.245445
472,186831,4.3.2.2,783613.4454,797008.547
473,186831,3.5.3.11,1739130.435,1739130.435
474,186831,2.6.1.44,1590.738007,2155.45
475,186831,3.2.2.9,2810309.278,2810309.278
476,186831,4.1.1.21,264.5461538,264.5461538
477,186831,6.3.2.4,26547.33725,26547.33725
478,186831,3.4.11.23,417.918552,417.918552
479,186831,1.4.1.1,1458.333333,1738.0509
480,186831,5.1.1.1,48.63260166,123.082761
481,186831,2.4.1.25,839378.2383,839378.2383
482,186831,3.5.3.6,14668.75,25650.27322
483,186831,3.5.3.1,10.811,10.811
484,186831,4.3.2.1,2267.6082,2267.6082
485,186831,4.2.1.51,19838181.85,19838181.85
486,186831,1.2.1.11,270335.7143,270335.7143
487,186831,4.1.1.11,2220.447284,2220.447284
488,186831,2.1.3.2,154.676259,154.676259
489,186831,1.4.3.16,323550,171291.1765
490,186831,4.3.1.1,2717.368421,580.1123596
491,186831,2.6.1.1,1723.438596,2728.777778
492,186831,3.1.3.7,94269.35484,94269.35484
493,186831,2.5.1.17,2916266.667,3313939.394
494,186831,2.7.2.2,364.9130435,45.9890411
495,186831,6.3.5.5,89733.8403,786666.6667
496,186831,4.2.1.45,11585.36585,11585.36585
497,186831,5.4.99.5,1083.260274,1083.260274
498,186831,4.2.3.5,5036144.578,5036144.578
499,186831,2.7.7.43,9318.996416,11555.55556
