Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Streptococcus downei,Acetate,Production (export),"242(G), 641(G)"
Streptococcus downei,CO2,Production (export),"25(G), 641(G)"
Streptococcus downei,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus downei,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus downei,Formate,Production (export),242(G)
Streptococcus downei,H2O2,Production (export),24(G)
Streptococcus downei,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus downei,Lactose,Consumption (import),297(G)
Streptococcus downei,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus downei,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus dysgalactiae,Acetate,Production (export),"242(G), 641(G)"
Streptococcus dysgalactiae,CO2,Production (export),"25(G), 641(G)"
Streptococcus dysgalactiae,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus dysgalactiae,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus dysgalactiae,Formate,Production (export),242(G)
Streptococcus dysgalactiae,H2O2,Production (export),24(G)
Streptococcus dysgalactiae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus dysgalactiae,Lactose,Consumption (import),297(G)
Streptococcus dysgalactiae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus dysgalactiae,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus entericus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus entericus,CO2,Production (export),"25(G), 641(G)"
Streptococcus entericus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus entericus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus entericus,Formate,Production (export),242(G)
Streptococcus entericus,H2O2,Production (export),24(G)
Streptococcus entericus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus entericus,Lactose,Consumption (import),297(G)
Streptococcus entericus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus entericus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus equi,Acetate,Production (export),"242(G), 641(G)"
Streptococcus equi,CO2,Production (export),"25(G), 641(G)"
Streptococcus equi,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus equi,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus equi,Formate,Production (export),242(G)
Streptococcus equi,H2O2,Production (export),24(G)
Streptococcus equi,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus equi,Lactose,Consumption (import),297(G)
Streptococcus equi,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus equi,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus equinus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus equinus,Biotin (Vitamin B7),Consumption (import),144
Streptococcus equinus,CO2,Production (export),"25(G), 641(G)"
Streptococcus equinus,Cellobiose,Consumption (import),"172, 180"
Streptococcus equinus,D-Galactose,Consumption (import),242
Streptococcus equinus,D-Glucose (Glucose),Consumption (import),180
Streptococcus equinus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus equinus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus equinus,Formate,Production (export),242(G)
Streptococcus equinus,H2O2,Production (export),24(G)
Streptococcus equinus,"L-Alanine (D-Alanine, Alanine)",Consumption (import),180
Streptococcus equinus,"L-Glutamine (D-Glutamine, Glutamine)",Consumption (import),180
Streptococcus equinus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"180, 24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus equinus,"L-Serine (Serine, D-Serine)",Consumption (import),180
Streptococcus equinus,L-Threonine (Threonine),Consumption (import),180
Streptococcus equinus,Lactose,Consumption (import),"229, 297(G)"
Streptococcus equinus,Maltose,Consumption (import),180
Streptococcus equinus,"NH3 (Ammonia, NH4+, Ammonium)","Consumption (import), Production (export)","import:384;export:180, 641(G)"
Streptococcus equinus,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),144
Streptococcus equinus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus equinus,Polypeptide,Macromolecule degradation,"12, 174, 175, 229, 263"
Streptococcus equinus,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,150
Streptococcus equinus,Sucrose,Consumption (import),180
Streptococcus equinus,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),144
Streptococcus ferus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus ferus,CO2,Production (export),"25(G), 641(G)"
Streptococcus ferus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus ferus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus ferus,Formate,Production (export),242(G)
Streptococcus ferus,H2O2,Production (export),24(G)
Streptococcus ferus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus ferus,Lactose,Consumption (import),297(G)
Streptococcus ferus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus ferus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus gallolyticus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus gallolyticus,CO2,Production (export),"25(G), 641(G)"
Streptococcus gallolyticus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus gallolyticus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus gallolyticus,Formate,Production (export),242(G)
Streptococcus gallolyticus,H2O2,Production (export),24(G)
Streptococcus gallolyticus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus gallolyticus,Lactose,Consumption (import),297(G)
Streptococcus gallolyticus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus gallolyticus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus gordonii,Acetate,Production (export),"242(G), 641(G)"
Streptococcus gordonii,CO2,Production (export),"25(G), 641(G)"
Streptococcus gordonii,D-Glucose (Glucose),Consumption (import),215
Streptococcus gordonii,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus gordonii,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus gordonii,Formate,Production (export),242(G)
Streptococcus gordonii,H2O2,Production (export),24(G)
Streptococcus gordonii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"215, 24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus gordonii,Lactose,Consumption (import),297(G)
Streptococcus gordonii,Maltose,Consumption (import),215
Streptococcus gordonii,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus gordonii,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus henryi,Acetate,Production (export),"242(G), 641(G)"
Streptococcus henryi,CO2,Production (export),"25(G), 641(G)"
Streptococcus henryi,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus henryi,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus henryi,Formate,Production (export),242(G)
Streptococcus henryi,H2O2,Production (export),24(G)
Streptococcus henryi,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus henryi,Lactose,Consumption (import),297(G)
Streptococcus henryi,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus henryi,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus ictaluri,Acetate,Production (export),"242(G), 641(G)"
Streptococcus ictaluri,CO2,Production (export),"25(G), 641(G)"
Streptococcus ictaluri,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus ictaluri,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus ictaluri,Formate,Production (export),242(G)
Streptococcus ictaluri,H2O2,Production (export),24(G)
Streptococcus ictaluri,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus ictaluri,Lactose,Consumption (import),297(G)
Streptococcus ictaluri,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus ictaluri,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus infantarius,Acetate,Production (export),"242(G), 641(G)"
Streptococcus infantarius,CO2,Production (export),"25(G), 641(G)"
Streptococcus infantarius,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus infantarius,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus infantarius,Formate,Production (export),242(G)
Streptococcus infantarius,H2O2,Production (export),24(G)
Streptococcus infantarius,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus infantarius,Lactose,Consumption (import),297(G)
Streptococcus infantarius,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus infantarius,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus infantis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus infantis,CO2,Production (export),"25(G), 641(G)"
Streptococcus infantis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus infantis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus infantis,Formate,Production (export),242(G)
Streptococcus infantis,H2O2,Production (export),24(G)
Streptococcus infantis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus infantis,Lactose,Consumption (import),297(G)
Streptococcus infantis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus infantis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus iniae,Acetate,Production (export),"242(G), 641(G)"
Streptococcus iniae,CO2,Production (export),"25(G), 641(G)"
Streptococcus iniae,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus iniae,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus iniae,Formate,Production (export),242(G)
Streptococcus iniae,H2O2,Production (export),24(G)
Streptococcus iniae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus iniae,Lactose,Consumption (import),297(G)
Streptococcus iniae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus iniae,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus intermedius,Acetate,Production (export),"242(G), 641(G)"
Streptococcus intermedius,"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)",Production (export),562
Streptococcus intermedius,CO2,"Consumption (import), Production (export)","import:562;export:25(G), 641(G)"
Streptococcus intermedius,Cellobiose,Consumption (import),562
Streptococcus intermedius,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),562
Streptococcus intermedius,D-Glucose (Glucose),Consumption (import),562
Streptococcus intermedius,D-Mannitol (Mannitol),Consumption (import),"562, 108(G)"
Streptococcus intermedius,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),562
Streptococcus intermedius,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus intermedius,Formate,Production (export),242(G)
Streptococcus intermedius,"Fructan (Inulin, Levan)",Macromolecule degradation (-),562
Streptococcus intermedius,Glycerol,Consumption (import) (-),562
Streptococcus intermedius,H2O2,Production (export),24(G)
Streptococcus intermedius,Hippurate,Consumption (import) (-),562
Streptococcus intermedius,L-Arginine (Arginine),Consumption (import),562
Streptococcus intermedius,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus intermedius,Lactose,Consumption (import),"562, 297(G)"
Streptococcus intermedius,Melibiose,Consumption (import),562
Streptococcus intermedius,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus intermedius,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus intermedius,Raffinose,Consumption (import),562
Streptococcus intermedius,Trehalose,Consumption (import),562
Streptococcus intermedius,Urea,Consumption (import) (-),562
Streptococcus lutetiensis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus lutetiensis,CO2,Production (export),"25(G), 641(G)"
Streptococcus lutetiensis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),732
Streptococcus lutetiensis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus lutetiensis,D-Ribose (Ribose),Consumption (import) (-),732
Streptococcus lutetiensis,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),732
Streptococcus lutetiensis,D-Tagatose,Consumption (import) (-),732
Streptococcus lutetiensis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus lutetiensis,Formate,Production (export),242(G)
Streptococcus lutetiensis,"Fructan (Inulin, Levan)",Macromolecule degradation (-),732
Streptococcus lutetiensis,H2O2,Production (export),24(G)
Streptococcus lutetiensis,Hippurate,Consumption (import) (-),732
Streptococcus lutetiensis,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import) (-),732
Streptococcus lutetiensis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus lutetiensis,Lactose,Consumption (import),"563, 297(G)"
Streptococcus lutetiensis,Maltose,Consumption (import),563
Streptococcus lutetiensis,Melibiose,Consumption (import) (-),"563, 732"
Streptococcus lutetiensis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus lutetiensis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus lutetiensis,Raffinose,Consumption (import),563
Streptococcus lutetiensis,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,563
Streptococcus lutetiensis,Sucrose,Consumption (import),563
Streptococcus lutetiensis,Trehalose,Consumption (import) (-),732
Streptococcus lutetiensis,Urea,Consumption (import) (-),732
Streptococcus macacae,Acetate,Production (export),"242(G), 641(G)"
Streptococcus macacae,CO2,Production (export),"25(G), 641(G)"
Streptococcus macacae,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus macacae,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus macacae,Formate,Production (export),242(G)
Streptococcus macacae,H2O2,Production (export),24(G)
Streptococcus macacae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus macacae,Lactose,Consumption (import),297(G)
Streptococcus macacae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus macacae,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus macedonicus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus macedonicus,CO2,Production (export),"25(G), 641(G)"
Streptococcus macedonicus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus macedonicus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus macedonicus,Formate,Production (export),242(G)
Streptococcus macedonicus,H2O2,Production (export),24(G)
Streptococcus macedonicus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus macedonicus,Lactose,Consumption (import),297(G)
Streptococcus macedonicus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus macedonicus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus marimammalium,Acetate,Production (export),"242(G), 641(G)"
Streptococcus marimammalium,CO2,Production (export),"25(G), 641(G)"
Streptococcus marimammalium,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus marimammalium,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus marimammalium,Formate,Production (export),242(G)
Streptococcus marimammalium,H2O2,Production (export),24(G)
Streptococcus marimammalium,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus marimammalium,Lactose,Consumption (import),297(G)
Streptococcus marimammalium,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus marimammalium,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus massiliensis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus massiliensis,CO2,Production (export),"25(G), 641(G)"
Streptococcus massiliensis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus massiliensis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus massiliensis,Formate,Production (export),242(G)
Streptococcus massiliensis,H2O2,Production (export),24(G)
Streptococcus massiliensis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus massiliensis,Lactose,Consumption (import),297(G)
Streptococcus massiliensis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus massiliensis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus merionis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus merionis,CO2,Production (export),"25(G), 641(G)"
Streptococcus merionis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus merionis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus merionis,Formate,Production (export),242(G)
Streptococcus merionis,H2O2,Production (export),24(G)
Streptococcus merionis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus merionis,Lactose,Consumption (import),297(G)
Streptococcus merionis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus merionis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus minor,Acetate,Production (export),"242(G), 641(G)"
Streptococcus minor,CO2,Production (export),"25(G), 641(G)"
Streptococcus minor,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus minor,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus minor,Formate,Production (export),242(G)
Streptococcus minor,H2O2,Production (export),24(G)
Streptococcus minor,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus minor,Lactose,Consumption (import),297(G)
Streptococcus minor,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus minor,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus mitis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus mitis,CO2,Production (export),"25(G), 641(G)"
Streptococcus mitis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus mitis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus mitis,Formate,Production (export),242(G)
Streptococcus mitis,H2O2,Production (export),24(G)
Streptococcus mitis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus mitis,Lactose,Consumption (import),297(G)
Streptococcus mitis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus mitis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus mutans,Acetate,Production (export),"242(G), 641(G)"
Streptococcus mutans,CO2,Production (export),"25(G), 641(G)"
Streptococcus mutans,D-Glucose (Glucose),Consumption (import),"180, 395"
Streptococcus mutans,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus mutans,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus mutans,"Folic acid (Folate, Vitamin B9)",Consumption (import),207
Streptococcus mutans,Formate,Production (export),242(G)
Streptococcus mutans,H2O2,Production (export),24(G)
Streptococcus mutans,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"68, 395, 24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus mutans,Lactose,Consumption (import),297(G)
Streptococcus mutans,Mucin (Mucus Glycoprotein),Macromolecule degradation,28
Streptococcus mutans,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus mutans,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus mutans,Sucrose,Consumption (import),"68, 395"
Streptococcus mutans,Xylitol,Consumption (import),108
Streptococcus oralis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus oralis,CO2,Production (export),"25(G), 641(G)"
Streptococcus oralis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),565
Streptococcus oralis,D-Fructose (Fructose),Consumption (import),565
Streptococcus oralis,D-Galactose,Consumption (import),565
Streptococcus oralis,D-Glucose (Glucose),Consumption (import),565
Streptococcus oralis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus oralis,D-Mannose (Mannose),Consumption (import),565
Streptococcus oralis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus oralis,Formate,Production (export),242(G)
Streptococcus oralis,"Fructan (Inulin, Levan)",Macromolecule degradation (-),565
Streptococcus oralis,H2O2,Production (export),24(G)
Streptococcus oralis,Hippurate,Consumption (import) (-),565
Streptococcus oralis,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import) (-),565
Streptococcus oralis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus oralis,Lactose,Consumption (import),"565, 297(G)"
Streptococcus oralis,Maltose,Consumption (import),565
Streptococcus oralis,Melibiose,Consumption (import) (-),565
Streptococcus oralis,Mucin (Mucus Glycoprotein),Macromolecule degradation,28
Streptococcus oralis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus oralis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus oralis,Raffinose,Consumption (import),565
Streptococcus oralis,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,565
Streptococcus oralis,Sucrose,Consumption (import),565
Streptococcus oralis,Trehalose,Consumption (import),565
Streptococcus orisratti,Acetate,Production (export),"242(G), 641(G)"
Streptococcus orisratti,CO2,Production (export),"25(G), 641(G)"
Streptococcus orisratti,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus orisratti,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus orisratti,Formate,Production (export),242(G)
Streptococcus orisratti,H2O2,Production (export),24(G)
Streptococcus orisratti,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus orisratti,Lactose,Consumption (import),297(G)
Streptococcus orisratti,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus orisratti,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus ovis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus ovis,CO2,Production (export),"25(G), 641(G)"
Streptococcus ovis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus ovis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus ovis,Formate,Production (export),242(G)
Streptococcus ovis,H2O2,Production (export),24(G)
Streptococcus ovis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus ovis,Lactose,Consumption (import),297(G)
Streptococcus ovis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus ovis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus parasanguinis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus parasanguinis,CO2,Production (export),"25(G), 641(G)"
Streptococcus parasanguinis,Cellobiose,Consumption (import),397
Streptococcus parasanguinis,D-Fructose (Fructose),Consumption (import),397
Streptococcus parasanguinis,D-Galactose,Consumption (import),397
Streptococcus parasanguinis,D-Glucose (Glucose),Consumption (import),397
Streptococcus parasanguinis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus parasanguinis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus parasanguinis,Formate,Production (export),242(G)
Streptococcus parasanguinis,H2O2,Production (export),24(G)
Streptococcus parasanguinis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus parasanguinis,Lactose,Consumption (import),"397, 297(G)"
Streptococcus parasanguinis,Maltose,Consumption (import),397
Streptococcus parasanguinis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus parasanguinis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus parasanguinis,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,397
Streptococcus parasanguinis,Sucrose,Consumption (import),397
Streptococcus parauberis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus parauberis,CO2,Production (export),"25(G), 641(G)"
Streptococcus parauberis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus parauberis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus parauberis,Formate,Production (export),242(G)
Streptococcus parauberis,H2O2,Production (export),24(G)
Streptococcus parauberis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus parauberis,Lactose,Consumption (import),297(G)
Streptococcus parauberis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus parauberis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pasteurianus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus pasteurianus,"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)",Production (export),563
Streptococcus pasteurianus,CO2,Production (export),"25(G), 641(G)"
