lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.227731
# Diagonal elements of inverse mass matrix:
# 0.0823218, 1.37702, 0.170559, 0.509911, 0.407534, 0.765305, 0.291858, 0.704703, 0.628116, 0.799155, 0.389706, 0.755013, 1.06665, 0.852003, 0.445123, 0.784009, 1.0792, 0.825705, 0.76028, 1.12365, 0.910654, 0.934274, 0.923347, 0.992995, 0.851219, 0.982874, 1.10603, 0.944114, 0.874549, 0.903691, 1.03246, 0.763794, 0.861151, 0.80026, 0.977502, 0.928672, 1.01678, 1.01861, 1.00292, 0.969151, 1.09092, 1.13774
-547.298,0.494822,0.227731,4,15,0,575.152,2.99777,0.999133,-3.0838,-3.94878,-2.37718,-0.980188,0.867198,-0.362813,-2.04936,0.0278853,-2.00802,0.554151,3.29466,0.325868,-0.334553,6.24463,2.20425,-1.37305,0.329038,0.351457,0.837733,0.0222158,0.339954,-0.758187,0.459136,-0.00132795,0.927397,-0.250396,-1.17754,2.55733,-0.394167,1.52179,2.53384,1.3162,2.71748,0.726469,-0.291318,-2.86502,-0.30733,-0.0817725,1.10324,-3.64874
-535.714,0.999696,0.227731,4,15,0,566.13,3.09819,0.99699,-3.23209,-3.69657,-1.60987,-1.39781,0.549995,-0.185657,-1.62778,0.253551,-1.61869,-0.903509,0.371205,0.708505,-1.41,6.41112,3.97208,-2.5275,1.03082,1.64744,0.510106,-0.61581,0.400366,-1.08865,-0.920728,0.713802,-0.324773,0.0491412,1.73389,0.0964137,2.56393,0.874714,-1.49706,-0.0811605,-0.0151262,-0.723011,0.309773,0.136745,-0.929951,0.501843,-0.754323,-0.0604694
-530.392,0.991117,0.227731,4,15,0,552.409,3.36357,0.998649,-3.24653,-4.52043,-3.58143,-1.82588,1.91233,-0.540799,-3.31449,1.91882,-1.3352,-0.919566,1.32473,0.722279,-1.14061,5.96048,2.39401,0.342567,0.0365507,1.61508,-0.452072,0.0462129,0.359761,0.86072,-1.28941,1.58701,0.149596,0.925643,-1.07607,-0.958113,2.2362,-0.363865,0.27551,0.586088,-0.0360424,0.102708,-0.524922,-0.69679,0.721405,-0.258621,0.26793,-0.41386
-534.911,0.839908,0.227731,4,15,0,550.607,3.34853,0.999012,-2.80234,-3.87489,-3.95077,-2.36813,0.937078,1.52421,-2.85756,0.583679,-1.83165,-2.08942,0.703201,0.554489,-2.1462,7.03305,3.16692,0.437004,-1.07233,1.28571,0.323743,0.0232364,1.35394,-0.84725,-1.19248,0.0724693,0.736394,-0.0303793,0.698281,1.25672,0.249075,-0.686808,0.226988,-0.994048,-0.228102,-0.859582,2.42572,0.937266,1.19583,0.634114,1.68038,0.0995928
-536.884,0.995907,0.227731,4,15,0,556.094,3.31084,0.998416,-3.45501,-3.47766,-3.56671,-4.14357,2.3267,0.525918,-2.81235,1.1158,-1.76245,-1.82827,-0.424299,0.873014,-2.21642,6.41166,2.15899,-0.384727,-0.403961,0.69875,0.284298,-0.592516,1.14846,-2.05488,-0.808001,0.0563768,0.00513973,-0.163814,0.241569,2.29461,0.735412,-0.433102,1.35674,-0.58377,-0.137536,0.173347,1.72461,-0.62277,-0.0515947,-0.0921671,2.61748,0.630264
-539.854,0.977445,0.227731,4,15,0,559.343,3.29852,0.999334,-3.60813,-4.97811,-3.31219,-0.772494,2.26675,-0.939873,-2.57742,0.859178,-1.4645,-1.33345,-0.736183,-0.196335,-0.831569,6.76952,3.0328,-1.41369,0.741176,0.44321,0.326414,-2.45067,-0.0842,-0.667211,-0.412396,-0.114253,-0.257967,-0.417482,0.0743564,0.617861,1.36517,-1.27513,3.53704,-1.70045,1.27256,-0.189175,1.35245,-0.506483,0.459542,0.73911,-0.303562,0.706123
-533.657,0.993467,0.227731,4,15,0,555.59,2.98157,0.995182,-3.25508,-4.21643,-2.99646,-1.05587,1.87678,0.786332,-1.43226,0.534012,-1.02484,-1.99423,0.262689,-0.470101,-2.11947,5.96595,3.0103,-0.785387,-0.775309,0.241266,0.0574581,-1.22269,1.33564,-1.27827,0.172465,0.595742,-1.67024,-0.118122,0.781621,-0.198722,1.5818,-2.28523,1.21576,-1.05737,0.727106,0.529625,0.221029,0.286836,1.06924,1.26591,0.294922,-0.907757
-538.925,0.99666,0.227731,4,15,0,555.968,3.14967,0.999862,-2.84878,-3.27297,-1.89486,-1.86549,1.33456,-0.810967,-3.27774,0.298075,-3.46237,-3.32496,0.50679,2.28101,-0.562594,7.72432,3.29884,0.00952036,0.16348,1.02434,0.169773,1.01275,0.131416,0.252363,-0.882112,0.481339,0.364097,1.07301,-2.46163,2.20679,0.682507,-1.309,1.22954,0.636063,-0.64014,-1.4427,0.539579,0.734455,-0.806123,-1.02516,1.36181,0.118395
-533.485,1,0.227731,4,15,0,555.727,3.31058,0.999852,-3.447,-3.26947,-3.36404,-2.31107,0.68312,0.521069,-3.37986,0.322887,-1.14883,-0.414511,2.11713,1.25416,-0.620616,6.23459,2.27935,-2.05243,0.0820796,0.685136,0.353199,0.314958,0.148189,-0.00129509,-1.11841,0.963131,0.371124,-0.484005,-0.170039,0.568034,0.87679,-0.0535557,0.554655,-0.716814,2.30115,-0.939428,1.67895,0.310186,0.499475,-0.156314,0.559528,1.13542
-536.096,0.972097,0.227731,4,15,0,553.617,2.51119,0.995091,-2.82515,-3.6083,-0.918785,-0.237731,1.631,-0.447447,-3.03942,1.55154,-2.94824,-1.00539,0.293191,1.48439,-1.57858,6.11319,4.54026,-0.0179078,0.12804,0.488501,-0.65892,-2.16503,2.78953,0.0749227,-0.0678211,1.08497,-0.147639,0.948851,1.80119,1.37665,0.579752,-1.28312,1.39844,1.70853,-0.154659,1.47022,-0.791674,0.444156,-0.581788,0.628806,-0.98296,-1.42905
