SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Escherichia_dash_Shigella,Mucispirillum_dash_schaedleri,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillospiraceae,Dubosiella_dash_newyorkensis,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Lachnoclostridium,Roseburia,Lactobacillus,Colidextribacter,Bifidobacterium_dash_choerinum,Bacteroides_dash_caecimuris,Oscillibacter,Desulfovibrio,mouse_dash_gut_dash_metagenome,Clostridia_dash_vadinBB60_dash_group,Alistipes,Peptococcaceae,Muribaculum,Desulfovibrionaceae,Parabacteroides,Helicobacter_dash_mastomyrinus,Anaerotruncus,Clostridiales_dash_bacterium_dash_CIEAF_dash_020,Rikenellaceae_dash_RC9_dash_gut_dash_group,Ruminococcaceae,Candidatus_dash_Saccharimonas,Lachnospiraceae_dash_UCG_dash_006
sample111,72581199.10962965,49743186.04989336,0.0,14382198.75019144,22254560.17134887,0.0,16886113.18665292,0.0,995101.8650339438,24130794.96986586,7013341.862452907,978091.5767427653,64639.09550647841,20412.34594941423,7654629.731030338,166700.8252535496,0.0,146288.4793041353,141185.3928167818,0.0,79948.35496853909,175205.9693991388,275566.6703170922,0.0,64639.09550647841,267061.5261715029,0.0,88453.49911412834,25515.43243676779,93556.5856014819,0.0,23814.40360764994,8505.144145589264,0.0,40824.69189882847,0.0,13608.23063294282,69742.18199383197,0.0,411648.9766465204
sample112,121143842.0258894,38597494.02002031,36011.84364622159,12946257.79081666,23317668.76092848,0.0,34495745.02871567,21607.10618773296,2351573.39009827,19208717.4008946,8135075.479681458,583391.8670687899,126041.4527617756,262886.4586174177,12996674.37192137,604998.9732565227,0.0,259285.2742527955,187261.5869603523,0.0,46815.39674008807,1941038.372531344,334910.1459098608,0.0,842677.1413215853,396130.2801084375,0.0,226874.614971196,0.0,586993.051433412,0.0,0.0,0.0,0.0,86428.42475093182,0.0,0.0,572588.3139749233,0.0,446546.8612131478
sample113,55072416.06547406,36484279.80342146,17538.98600811276,13941899.42317618,14747098.3262759,0.0,12674309.07077166,6377.813093859184,8968799.663239477,7849493.465267192,3471124.776332861,438474.6502028189,31889.06546929592,803604.4498262572,3713481.67389951,255112.5237543674,0.0,86100.47676709898,36672.42528969031,0.0,23916.79910197194,679237.0944960031,269462.6032155505,0.0,441663.5567497485,1565753.11454243,0.0,84506.02349363419,25511.25237543674,223223.4582850715,0.0,0.0,0.0,0.0,30294.61219583113,0.0,11161.17291425357,200901.1124565643,0.0,208873.3788238883
sample114,154349679.5589636,26699009.71674923,36300.48907783716,8986963.938841686,21176149.59276401,0.0,16120010.04263669,20743.13661590695,25226247.01701984,640444.3430161271,20400874.86174448,492649.49462779,147794.848388337,28521.81284687205,4428659.667496134,1462391.13142144,0.0,775274.7310195221,298182.5888536624,0.0,28521.81284687205,570436.2569374411,173723.7691582207,0.0,430420.0847800692,228174.5027749764,0.0,173723.7691582207,57043.62569374411,2248037.430748916,0.0,31114.70492386042,0.0,0.0,347447.5383164414,0.0,12964.46038494184,469313.4659348947,0.0,412269.8402411506
sample115,56329909.77604652,29561020.55851091,9745.659130803897,7499284.701153597,17376510.23022335,17054.90347890682,13352771.21659269,8527.451739453409,1399720.292661709,13684123.62704002,4253980.210595901,233895.8191392935,62128.57695887483,41419.05130591655,4546349.984520018,81619.89522048263,0.0,96238.38391668846,119384.3243523477,0.0,37764.42913186509,154712.3387015118,185167.523485274,0.0,56037.5400021224,581084.9256741822,0.0,56037.5400021224,21927.73304430877,63346.78435022532,0.0,7309.244348102921,3654.622174051461,0.0,0.0,0.0,0.0,45073.67347996801,0.0,198567.8047901294
sample126,23832827.52703573,14529923.65541662,22337.69138375005,8323768.399298063,4504767.762389595,0.0,11126404.0782459,0.0,1329092.637333128,7917967.005826601,5678985.739462057,946373.5249582106,27549.81937329174,29783.58851166674,3167484.638215757,78926.50955591685,0.0,70736.02271520851,160831.3779630004,0.0,51376.69018262513,54355.0490337918,147428.7631327503,0.0,16380.97368141671,7842763.444834644,218909.3755607505,33506.53707562508,11913.4354046667,52121.2798954168,0.0,14147.2045430417,0.0,0.0,37229.48563958342,0.0,4467.53827675001,61056.35644891682,0.0,252415.9126363756
sample127,47718999.11765197,32457242.07118018,698258.0055152304,16975663.06000916,5965756.528602347,23510.37055606837,16932168.87448044,48196.25963994014,28342927.22386822,1512892.345282999,1169640.935164401,758209.4504332048,56424.88933456408,29387.96319508545,6761582.571925261,164572.5938924786,10579.66675023076,49371.77816774356,129307.038058376,17632.77791705127,98743.55633548714,224524.0388104529,205715.7423655982,116376.3342525384,250385.4464221281,244507.853783111,39967.62994531622,70531.11166820509,12930.7038058376,49371.77816774357,61126.96344577775,22334.85202826495,41143.14847311964,0.0,27036.92613947862,0.0,32914.51877849571,41143.14847311964,0.0,94041.48222427347
sample128,53186945.00638921,20547555.7980267,532170.2419397713,18926750.343771,7203965.427302079,11568.91830303851,12290818.80514811,45118.78138185017,10910646.85159562,9049207.89663672,2380883.386765324,80982.42812126955,52060.13236367328,96022.02191521961,2452610.680244164,39334.32223033092,0.0,75197.96896975029,72884.1853091426,41648.10589093863,222123.2314183393,59001.48334549638,371362.2775275361,104120.2647273466,84453.1036121811,3876744.523348204,62472.15883640794,38177.43040002707,15039.59379395006,79825.53629096571,61315.26700610408,77511.752630358,31236.07941820397,0.0,46275.67321215403,0.0,39334.32223033092,41648.10589093863,0.0,214024.9886062124
sample129,53654488.35975061,11027099.49310092,362109.6002425633,16449163.87768533,5150961.165355192,19159.23810807214,7450069.73832385,28738.8571621082,15296735.7054848,419587.3145667798,11137265.11222233,582440.8384853929,13411.46667565049,82384.72386471018,3621096.002425633,639918.5528096092,0.0,111123.5810268184,724219.2004851268,58435.67622962001,253859.9049319558,248112.1334995341,307505.7716345578,79510.83814849936,414797.5050397617,3213962.1926291,42150.3238377587,24907.00954049377,25864.97144589738,311337.6192561722,47898.09527018033,68973.25718905969,52687.90479719837,0.0,639918.5528096093,0.0,43108.28574316231,211709.5810941971,0.0,120703.2000808544
sample130,20720122.07527268,19870077.52222329,244897.057555968,13106798.97009352,4349097.091288322,10986.03622680978,6904266.017040499,21972.07245361956,10336486.83489965,1166350.846079638,538315.7751136792,201410.6641581793,10986.03622680978,6866.272641756113,2090093.392150561,47148.40547339198,1831.00603780163,22887.57547252038,52183.67207734645,6866.272641756113,94296.81094678395,37993.37528438382,285636.9418970543,51268.16905844564,35246.86622768138,434406.1824684368,6408.521132305706,2746.509056702445,4577.515094504075,12359.290755161,21514.32094416915,23803.07849142119,14648.04830241304,0.0,10528.28471735937,0.0,8697.278679557743,16021.30283076426,0.0,29296.09660482608
